Basic Information,,,,Airport Capacity,,,,Route Costs,,Distances from Airports (NM),,,,,,,,,,,,,,,,,"Private 
Use",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IATA 
Code",Country,Airport,"Runway 
(m)","PAX
Size","Cargo
Size",PAX,Cargo,PAX,Cargo,INN,BRI,PRG,IAD,NGO,SAN,MCT,LEJ,SXM,LHR,SYD,BKK,MSY,GRU,SCL,CNN,HKG,"Dest
Code",Version
MTY,Mexico,Monterrey,3000,F,G,3,2,3500,1500,5070,5470,5072,1388,5934,986,7583,4964,2104,4545,7131,8137,580,4291,3925,8524,7302,1,2.0.0
SLW,Mexico,Saltillo,2900,F,F,1,2,1500,1500,5109,5510,5109,1430,5913,954,7614,5001,2147,4584,7085,8126,626,4318,3933,8543,7285,2,3.0.3
CUU,Mexico,Chihuahua,2600,C,C,1,1,1500,1500,5126,5542,5107,1540,5589,628,7533,4997,2432,4604,6929,7822,825,4646,4229,8361,6968,3,2.0.0
TIJ,Mexico,Tijuana,2960,E,E,3,2,4000,,5262,5693,5207,1947,5007,17,7421,5096,3016,4756,6531,7282,1375,5248,4739,8038,6404,4,3.0.0
SJD,Mexico,San Jose del Cabo,3000,E,E,2,1,2500,1500,5515,5929,5497,1896,5661,698,7909,5387,2626,4992,6594,7956,1121,4626,4058,8673,7068,5,2.0.0
PVR,Mexico,Puerto Vallarta,3100,E,E,3,1,2500,,5486,5887,5485,1803,5945,964,7975,5377,2385,4961,6738,8230,985,4337,3797,8844,7349,6,2.0.0
GDL,Mexico,Guadalajara,4000,F,G,3,3,4500,2500,5427,5824,5432,1732,6031,1043,7943,5324,2276,4902,6828,8305,907,4242,3733,8853,7430,7,2.0.0
NLU,Mexico,Mexico City AIFA,4500,F,G,2,3,,,5311,5696,5329,1603,6235,1247,7879,5223,2037,4788,7018,8479,777,4020,3575,8873,7623,8,3.4.0
MEX,Mexico,Mexico City,3950,F,G,4,4,12000,6000,5328,5712,5347,1621,6247,1258,7898,5240,2042,4805,7005,8493,795,4011,3560,8892,7636,9,2.0.0
PBC,Mexico,Puebla,3600,C,C,1,2,1500,1500,5315,5697,5336,1609,6287,1298,7894,5231,2003,4793,7032,8528,786,3969,3527,8901,7674,10,2.3.0
CUN,Mexico,Cancun,3500,F,G,3,2,6500,1500,4802,5158,4849,1179,6624,1760,7436,4748,1355,4291,7656,8668,568,3563,3394,8568,7929,11,2.0.0
BZE,Belize,Belize City,2950,F,G,1,1,1500,1500,5012,5361,5063,1404,6740,1806,7650,4963,1439,4503,7485,8851,755,3472,3217,8790,8076,12,3.0.0
SAP,Honduras,San Pedro Sula,2900,F,G,1,3,1500,1500,5089,5430,5146,1514,6851,1899,7731,5048,1433,4585,7441,8977,882,3370,3091,8887,8196,13,2.6.0
GUA,Guatemala,Guatemala City,3000,E,E,2,2,2000,1500,5229,5576,5281,1617,6793,1817,7868,5181,1591,4721,7285,8976,925,3447,3093,9008,8161,14,2.0.0
